"Order #","MSS PO","Enrollment #","Order Recv. Date","Date ORD ACK","Customer Name","SKU Ordered",Appliance,Qty,"Service SKU","Service Level",Address,City,State,Postal,Country,"Serial #","Expected ship date","Actual Ship Date","INCO Terms",Carrier,"Tracking #","Customs Arrival Date","Final Delivery Date"
013548,6000413084,84128907,12/22/2016,12/22/2016,"SB International Trade Colombia",3M2-00002,8600,1.00,3M2-00005,Standard,"Cra 106 NO. 15A-25 MZ 24 Int 144",Bogota,,0000,Colombia,SHG0997877L7GM0,,01/09/2017,DAP,DHL,7216381314,01/12/2017,01/17/2017
013547,6000413085,62211944,12/22/2016,12/22/2016,"SB International Trade Colombia",3M2-00001,8100,1.00,3M2-00005,Standard,"Cra 106 NO. 15A-25 MZ 24 Int 144",Bogotá,,0000,Colombia,SHG0997879L7HYJ,,12/29/2016,DAP,DHL,7403281351,01/02/2017,01/03/2017
013546,6000413007,SHG0997877L72SV,12/21/2016,12/28/2016,Microsoft,,,,3M2-00007,"Upgrade (Std to Premium)","One Microsoft Way",Redmond,WA,98052,"United States",,,12/28/2016,,FEDEX,,,
013545,6000413006,SHG0997877L72SG,12/21/2016,12/28/2016,Microsoft,,,,3M2-00007,"Upgrade (Std to Premium)","One Microsoft Way",Redmond,WA,98052,"United States",,,12/28/2016,,FEDEX,,,
013544,6000413005,SHG0997879L70RP,12/21/2016,12/22/2016,Microsoft,,,,3M2-00006,Premium,"One Microsoft Way",Redmond,WA,98052,"United States",,,12/22/2016,,FEDEX,,,
013542,6000412902,SHG0997879L72QH,12/21/2016,12/21/2016,Microsoft,,,,3M2-00006,Premium,"One Microsoft Way",Redmond,WA,98052,"United States",,,12/21/2016,,FEDEX,,,
013538,6000412404,7779790,12/19/2016,12/20/2016,"Santillana Mexico",3M2-00001,8100,1.00,3M2-00005,Standard,"Avenida Río Mixcoac, 272, Piso 1, 2","Ciudad de Mexico",MEX,03240,Mexico,SHG0997879L7J1K,,01/04/2017,DDP,DHL,701542244824,01/09/2017,01/18/2017
013537,6000412403,8408750,12/19/2016,12/19/2016,"Aztek Technologies LTD.",3M2-00002,8600,1.00,3M2-00005,Standard,"12 Abba Hilel Silver st.",Lod,,7129409,Israel,SHG0997877L7G62,,01/09/2017,DAP,DHL,7216381281,01/11/2017,01/30/2017
013530,97767672,N/A,12/16/2016,,"Microsoft Corporation",3M2-00002,8600,1.00,,,"1065 - La Avenida, Silicon Valley Campus - Bldg 1, Building: USCAMTV004 ,  Room #: 1206","Mountain View",CA,94043-1421,"United States",SHG0997877L7GKT,,01/09/2017,,FEDEX,701542245599,01/12/2017,01/12/2017
013529,6000411958,SHG0997877L76T0,12/16/2016,12/16/2016,Microsoft,,,,3M2-00006,Premium,"One Microsoft Way",Redmond,WA,98052,"United States",,,12/16/2016,,FEDEX,,,
013528,6000411873,88052810,12/15/2016,12/16/2016,"Sol-Tec Ltd",3M2-00002,8600,2.00,3M2-00006,Premium,"2 Richfield Avenue, Thames Court",Reading,,"RG1 8EQ","United Kingdom","SHG0997877L7GK4
SHG0997877L7GW2",,01/09/2017,DAP,DHL,7216381270,01/10/2017,01/11/2017
013527,6000411835,61587877,12/15/2016,12/15/2016,"Bytes Software Services",3M2-00001,8100,1.00,3M2-00005,Standard,"Bytes House, Randalls Way",Leatherhead,SRY,"KT22 7TW","United Kingdom",SHG0997879L7J12,,12/20/2016,DAP,DHL,7403281292,12/22/2016,01/03/2017
